flag,z,dis
0,1050.0,801.8823869424224
1,1100.0,801.8823869424224
1,1150.0,801.8823869424224
1,1200.0,801.8823869424224
1,1250.0,801.8823869424224
1,1300.0,802.9139846758501
1,1350.0,802.9139846758501
1,1400.0,802.9139846758501
1,1450.0,802.9139846758501
1,1500.0,802.9139846758501
1,1550.0,802.6499852977199
1,1600.0,802.6499852977199
1,1650.0,802.6499852977199
1,1700.0,802.6499852977199
1,1750.0,802.6499852977199
1,1800.0,804.6269196906536
1,1850.0,804.6269196906536
1,1900.0,804.6269196906536
1,1950.0,804.6269196906536
1,2000.0,804.6269196906536
1,2050.0,805.4113342020496
1,2100.0,805.4113342020496
1,2150.0,805.4113342020496
1,2200.0,805.4113342020496
1,2250.0,805.4113342020496
1,2300.0,807.1258573965929
1,2350.0,807.1258573965929
1,2400.0,807.1258573965929
1,2450.0,807.1258573965929
1,2500.0,807.1258573965929
1,2550.0,806.249432615417
1,2600.0,806.249432615417
1,2650.0,806.249432615417
1,2700.0,806.249432615417
1,2750.0,806.249432615417
1,2800.0,804.4890422416523
1,2850.0,804.4890422416523
1,2900.0,804.4890422416523
1,2950.0,804.4890422416523
1,3000.0,804.4890422416523
1,3050.0,800.057578572594
1,3100.0,800.057578572594
1,3150.0,800.057578572594
1,3200.0,800.057578572594
1,3250.0,800.057578572594
1,3300.0,804.6872987110603
1,3350.0,804.6872987110603
1,3400.0,804.6872987110603
1,3450.0,804.6872987110603
1,3500.0,804.6872987110603
1,3550.0,802.5019588863528
1,3600.0,802.5019588863528
1,3650.0,802.5019588863528
1,3700.0,802.5019588863528
1,3750.0,802.5019588863528
1,3800.0,805.1205832873692
1,3850.0,805.1205832873692
1,3900.0,805.1205832873692
1,3950.0,805.1205832873692
1,4000.0,805.1205832873692
1,4050.0,803.5323599223118
1,4100.0,803.5323599223118
1,4150.0,803.5323599223118
1,4200.0,803.5323599223118
1,4250.0,803.5323599223118
1,4300.0,805.0208727932819
0,4350.0,805.0208727932819
0,4400.0,805.0208727932819
0,4450.0,805.0208727932819
0,4500.0,805.0208727932819
0,4550.0,802.3388393613361
0,4600.0,802.3388393613361
0,4650.0,802.3388393613361
0,4700.0,802.3388393613361
0,4750.0,802.3388393613361
0,4800.0,799.7569037920491
0,4850.0,799.7569037920491
0,4900.0,799.7569037920491
0,4950.0,799.7569037920491
0,5000.0,799.7569037920491
0,5050.0,801.2568398238252
0,5100.0,801.2568398238252
0,5150.0,801.2568398238252
0,5200.0,801.2568398238252
0,5250.0,801.2568398238252
0,5300.0,801.1503351105883
0,5350.0,801.1503351105883
0,5400.0,801.1503351105883
0,5450.0,801.1503351105883
0,5500.0,801.1503351105883
0,5550.0,805.4046856672351
0,5600.0,805.4046856672351
0,5650.0,805.4046856672351
0,5700.0,805.4046856672351
0,5750.0,805.4046856672351
0,5800.0,804.9776592462802
0,5850.0,804.9776592462802
0,5900.0,804.9776592462802
0,5950.0,804.9776592462802
0,6000.0,804.9776592462802
0,6050.0,801.4129644442086
0,6100.0,801.4129644442086
0,6150.0,801.4129644442086
0,6200.0,801.4129644442086
0,6250.0,801.4129644442086
0,6300.0,798.7053940595326
0,6350.0,798.7053940595326
0,6400.0,798.7053940595326
0,6450.0,798.7053940595326
0,6500.0,798.7053940595326
1,6550.0,797.937569894241
1,6600.0,797.937569894241
1,6650.0,797.937569894241
1,6700.0,797.937569894241
1,6750.0,797.937569894241
1,6800.0,802.3436536984951
1,6850.0,802.3436536984951
1,6900.0,802.3436536984951
1,6950.0,802.3436536984951
1,7000.0,802.3436536984951
1,7050.0,805.0894405244279
1,7100.0,805.0894405244279
1,7150.0,805.0894405244279
1,7200.0,805.0894405244279
1,7250.0,805.0894405244279
1,7300.0,808.6967879888703
1,7350.0,808.6967879888703
1,7400.0,808.6967879888703
1,7450.0,808.6967879888703
1,7500.0,808.6967879888703
1,7550.0,805.7301915389868
1,7600.0,805.7301915389868
1,7650.0,805.7301915389868
1,7700.0,805.7301915389868
1,7750.0,805.7301915389868
1,7800.0,802.2392213923838
1,7850.0,802.2392213923838
1,7900.0,802.2392213923838
1,7950.0,802.2392213923838
1,8000.0,802.2392213923838
1,8050.0,797.8053067161989
1,8100.0,797.8053067161989
1,8150.0,797.8053067161989
1,8200.0,797.8053067161989
1,8250.0,797.8053067161989
1,8300.0,802.1708227293047
1,8350.0,802.1708227293047
1,8400.0,802.1708227293047
1,8450.0,802.1708227293047
1,8500.0,802.1708227293047
1,8550.0,802.8659642217951
1,8600.0,802.8659642217951
1,8650.0,802.8659642217951
1,8700.0,802.8659642217951
1,8750.0,802.8659642217951
1,8800.0,804.4993192421199
1,8850.0,804.4993192421199
1,8900.0,804.4993192421199
1,8950.0,804.4993192421199
1,9000.0,804.4993192421199
1,9050.0,803.1219590041383
1,9100.0,803.1219590041383
1,9150.0,803.1219590041383
1,9200.0,803.1219590041383
1,9250.0,803.1219590041383
1,9300.0,806.2253467904706
1,9350.0,806.2253467904706
1,9400.0,806.2253467904706
1,9450.0,806.2253467904706
1,9500.0,806.2253467904706
1,9550.0,804.2910340707681
1,9600.0,804.2910340707681
1,9650.0,804.2910340707681
1,9700.0,804.2910340707681
1,9750.0,804.2910340707681
1,9800.0,804.2910340707681
